Book Name,Author,Rating,Customers_Rated,Price
Karma: A Yogi's Guide to Crafting Your Destiny,Sadhguru,-1,0,₹ 280.00
Unfinished: A Memoir,Priyanka Chopra Jonas,4.3 out of 5 stars,232,₹ 511.00
Spoken English Course (Telugu),Vashista 360,4.7 out of 5 stars,68,₹ 399.00
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"8,529",₹ 300.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"14,207",₹ 399.00
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"42,803",₹ 189.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"7,563",₹ 465.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"13,066",₹ 399.00
The Psychology of Money,Morgan Housel,4.5 out of 5 stars,"4,806",₹ 283.00
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.7 out of 5 stars,"8,455",₹ 265.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"38,036",₹ 373.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,"2,493",₹ 319.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"7,715",₹ 169.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"2,703",₹ 185.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"15,689",₹ 152.00
Grandma's Bag of Stories,Sudha Murty,4.6 out of 5 stars,"3,053",₹ 189.00
Very First Sight Words Sentences Level - 1,Dreamland Publications,4.6 out of 5 stars,"1,396",₹ 126.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"4,837",₹ 617.00
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.4 out of 5 stars,250,₹ 325.00
NTA UGC NET/SET/JRF: Teaching & Research Aptitude Paper 1 | By Pearson,KVS Madaan,4.4 out of 5 stars,486,₹ 356.00
How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill Gates,4.3 out of 5 stars,20,₹ 770.00
One Arranged Murder,Chetan Bhagat,4.2 out of 5 stars,"4,665",₹ 117.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Keller Jeff,4.5 out of 5 stars,"5,705",₹ 158.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"24,187",₹ 159.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"5,297",₹ 183.00
Manorama English Yearbook 2021,Mammen Mathew,4.6 out of 5 stars,108,₹ 220.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.7 out of 5 stars,382,₹ 538.00
"‘Kaun Hain Bharat Mata?’ : Itihas, Sanskriti aur Bharat ki Sankalpana ke Bare Mein : Jawahar Nehru",Purushottam Agrawal,5.0 out of 5 stars,1,₹ 350.00
Think and Grow Rich,Napoleon Hill,4.5 out of 5 stars,"38,698",₹ 159.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.4 out of 5 stars,"8,825",₹ 210.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.4 out of 5 stars,"18,017",₹ 516.00
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.5 out of 5 stars,166,₹ 119.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"2,582",₹ 127.00
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"3,223",₹ 562.00
Bhagavad Gita: Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.8 out of 5 stars,"4,233",₹ 185.00
Oswaal CBSE Question Bank Class 10 Science (Reduced Syllabus) (For 2021 Exam),Oswaal Editorial Board,4.7 out of 5 stars,272,₹ 375.00
A Brief History of Modern India (2019-2020 Edition) by Spectrum Books,Spectrum Books Pvt.Ltd.,4.5 out of 5 stars,"3,401",₹ 356.00
